id;description;sort_order;date_added;date_modified;status
1;Table;47527;2020-05-31;2020-05-30;AJUSTEMENT
2;transmit;8745;2020-05-30;2020-05-30;ACTIVE
3;Chief;83161;2020-05-30;2020-05-30;DESACTIVE
4;synthesize Steel;18974;2020-05-30;2020-05-30;ACTIVE
5;harness architectures red;17869;2020-05-31;2020-05-31;DESACTIVE
6;web services;54496;2020-05-31;2020-05-30;OBSOLETE
7;Home Loan Account deposit;12226;2020-05-30;2020-05-31;ACTIVE
8;Front-line Fantastic Human;23683;2020-05-30;2020-05-31;AJUSTEMENT
9;throughput Home Loan Account revolutionize;54871;2020-05-30;2020-05-31;ACTIVE
10;Avon invoice;51091;2020-05-31;2020-05-30;ACTIVE
