id;description;sort_order;date_added;date_modified
1;Tuna;27853;2020-05-30;2020-05-30
2;Licensed;5602;2020-05-31;2020-05-30
3;forecast bluetooth;39700;2020-05-31;2020-05-31
4;synthesize Universal;4581;2020-05-30;2020-05-31
5;Afghanistan;18544;2020-05-31;2020-05-31
6;Upgradable value-added;58567;2020-05-31;2020-05-31
7;wireless Massachusetts;29807;2020-05-31;2020-05-31
8;Accounts Keyboard;99303;2020-05-31;2020-05-30
9;redundant solid state user-facing;10920;2020-05-31;2020-05-31
10;cross-media USB synthesize;59346;2020-05-31;2020-05-31
